                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 2.2071,                 1.7493,                 2.1475,                  0.128,                    0.2,                0.07158,                0.02019,                 3.6736,                  2.272,                 2.9162,               0.000812,               0.000812,               0.000812
                    122,                 2.2805,                 1.7021,                  2.097,                0.17496,                    0.2,                0.08033,                0.02466,                 3.3805,                  2.122,                 2.6648,              0.0008021,              0.0008021,              0.0008021
                    123,                 2.3907,                 1.7403,                 2.0849,                0.64034,                0.33333,                0.46182,                0.10675,                 3.1976,                  1.925,                  2.563,              0.0007922,              0.0007922,              0.0007922
                    124,                 2.2582,                 1.7117,                 2.0531,                0.77138,                0.45132,                0.57873,                0.20004,                 3.0586,                 1.7809,                 2.4307,              0.0007823,              0.0007823,              0.0007823
                    125,                 2.2654,                 1.6038,                 1.9531,                0.64605,                    0.4,                0.49451,                0.15827,                 3.1158,                 1.8161,                 2.5462,              0.0007724,              0.0007724,              0.0007724
                    126,                 2.2194,                 1.6765,                  2.029,                0.69205,                0.53333,                0.61345,                 0.1392,                 3.1476,                 1.9257,                 2.4888,              0.0007625,              0.0007625,              0.0007625
                    127,                 2.2052,                 1.6684,                 2.0719,                0.54944,                0.53333,                0.47137,                0.11219,                 3.0583,                 2.0733,                 2.3279,              0.0007526,              0.0007526,              0.0007526
                    128,                 2.2622,                  1.777,                 2.0865,                0.55708,                0.53333,                0.49795,                0.12433,                      3,                 2.0816,                 2.3038,              0.0007427,              0.0007427,              0.0007427
                    129,                 2.1945,                 1.6922,                 2.1116,                 0.5619,                0.53333,                 0.4589,                0.10777,                 3.0474,                 2.1357,                 2.3066,              0.0007328,              0.0007328,              0.0007328
                    130,                  2.374,                 1.7001,                 2.1336,                0.56353,                0.46667,                0.45948,                0.11486,                 3.0145,                 2.2305,                 2.2777,              0.0007229,              0.0007229,              0.0007229
                    131,                 2.2161,                 1.6057,                 2.0623,                0.51635,                0.53333,                0.58327,                0.16326,                  2.854,                 2.2198,                 2.2069,               0.000713,               0.000713,               0.000713
                    132,                 2.2388,                 1.6908,                 2.0812,                0.64485,                0.48534,                0.54686,                0.22069,                 2.5892,                 2.1374,                 2.1295,              0.0007031,              0.0007031,              0.0007031
                    133,                 2.1141,                 1.6048,                 2.0353,                0.74353,                0.46667,                0.68342,                 0.2352,                  2.472,                 2.1325,                 2.0536,              0.0006932,              0.0006932,              0.0006932
