                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.4465,                 2.1399,                 2.4321,                0.00162,                0.06667,                0.00093,                0.00019,                 4.4481,                 4.9025,                 4.2385,              0.0012143,              0.0012143,              0.0012143
                     86,                 2.5735,                      2,                 2.3924,                0.00163,                0.06667,                0.00094,                0.00019,                 4.4232,                  4.895,                 4.2274,              0.0012232,              0.0012232,              0.0012232
                     87,                 2.5132,                 2.0511,                 2.4009,                0.00159,                0.06667,                0.00093,                0.00019,                 4.4254,                 4.8981,                 4.2226,              0.0012319,              0.0012319,              0.0012319
                     88,                 2.4682,                  2.138,                 2.4294,                0.00157,                0.06667,                0.00091,                0.00018,                 4.4301,                 4.8328,                 4.2215,              0.0012404,              0.0012404,              0.0012404
                     89,                  2.439,                 2.0148,                 2.3589,                0.00156,                0.06667,                0.00091,                0.00018,                 4.4262,                 4.8474,                  4.228,              0.0012489,              0.0012489,              0.0012489
                     90,                 2.5252,                 2.0399,                 2.3277,                0.00154,                0.06667,                0.00086,                0.00017,                 4.4362,                 4.7383,                  4.226,              0.0012572,              0.0012572,              0.0012572
                     91,                 2.4156,                 1.9586,                 2.2714,                0.00171,                0.06667,                0.00094,                0.00019,                 4.4783,                 4.8082,                  4.216,              0.0012654,              0.0012654,              0.0012654
                     92,                 2.5383,                 2.1208,                 2.4609,                0.00192,                0.06667,                0.00105,                0.00021,                 4.4931,                 4.8624,                 4.2093,              0.0012735,              0.0012735,              0.0012735
                     93,                 2.4111,                 1.9123,                 2.3189,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.5012,                 4.7523,                 4.2331,              0.0012814,              0.0012814,              0.0012814
                     94,                 2.4328,                 1.9142,                 2.3831,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.4022,                 5.1729,                 4.2496,              0.0012892,              0.0012892,              0.0012892
                     95,                 2.5292,                  1.851,                 2.3086,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.4109,                 5.3491,                 4.2599,              0.0012968,              0.0012968,              0.0012968
                     96,                  2.648,                 1.9343,                 2.3296,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.4256,                 5.2246,                 4.2565,              0.0013044,              0.0013044,              0.0013044
                     97,                 2.3899,                 1.8681,                 2.2336,                0.00185,                0.06667,                0.00099,                 0.0002,                 4.4287,                 5.0451,                 4.2394,              0.0013117,              0.0013117,              0.0013117
